,age,sex
1453,16.5,1
1454,2.4,0
1455,46.7,1
1456,17.9,0
1457,0.3,0
1458,14.7,0
1459,34.4,0
1460,1.0,0
1461,17.7,1
1462,13.7,1
1463,17.6,1
1464,16.2,1
1465,16.6,1
1466,23.3,1
1467,35.5,0
1468,11.7,0
1469,27.6,0
1470,25.6,0
1471,5.2,0
1472,6.8,1
1473,7.6,1
1474,20.6,1
1475,31.6,1
1476,21.6,1
1477,18.7,1
1478,18.6,1
1479,5.6,0
1480,21.4,0
1481,0.7,0
1482,37.6,1
1483,27.7,1
1484,61.7,0
1485,28.0,0
1486,15.7,1
1487,56.7,1
1488,56.7,0
1489,18.5,1
1490,19.6,1
1491,62.6,1
1492,20.6,0
1493,49.6,0
1494,17.6,1
1495,9.5,1
1496,28.6,0
1497,51.6,0
1498,25.6,0
1499,25.8,0
1500,1.1,1
1501,17.6,1
1502,50.6,0
1503,35.6,1
1504,24.6,0
1505,17.0,1
1506,15.7,1
1507,28.8,1
1508,0.5,0
1509,25.7,0
1510,14.5,1
1511,16.2,1
1512,7.7,1
1513,16.4,1
1514,2.3,1
1515,23.1,0
1516,1.3,1
1517,15.7,1
1518,39.4,1
1519,0.4,0
1520,38.7,0
1521,34.8,1
1522,20.8,0
1523,27.4,0
1524,32.6,0
1525,2.6,1
1526,5.2,1
1527,2.1,1
1528,26.6,0
1529,5.1,0
1530,28.6,1
1531,24.7,0
1532,27.4,1
1533,24.9,1
1534,32.6,0
1535,16.7,1
1536,18.4,1
1537,59.8,1
1538,71.2,1
1539,69.2,0
1540,72.2,1
1541,70.2,1
1542,28.8,1
1543,26.0,0
1544,62.6,0
1545,61.6,0
1546,62.8,0
1547,18.6,1
1548,29.4,0
1549,24.6,1
1550,19.6,0
1551,5.6,1
1552,18.5,1
1553,17.3,1
1554,2.5,0
1555,28.3,0
1556,28.6,0
1557,2.6,0
1558,38.7,0
1559,33.5,1
1560,22.5,1
1561,27.6,0
1562,33.3,0
1563,45.4,0
1564,18.6,0
1565,17.6,0
1566,18.6,1
1567,15.7,1
1568,65.2,1
1569,60.6,0
1570,1.6,1
1571,3.6,1
1572,25.7,0
1573,30.7,1
1574,0.6,0
1575,27.6,0
1576,32.4,1
1577,26.7,1
1578,42.6,0
1579,23.1,0
1580,17.1,0
1581,17.1,1
1582,17.5,1
1583,17.5,1
1584,15.8,1
1585,51.6,0
1586,23.7,1
1587,40.6,0
1588,3.5,0
1589,51.6,1
1590,7.5,1
1591,28.7,0
1592,0.7,0
1593,12.9,1
1594,38.6,1
1595,16.6,1
1596,38.7,0
1597,16.7,1
1598,29.6,1
1599,46.7,0
1600,11.1,0
1601,48.6,0
1602,15.6,1
1603,49.8,0
1604,26.2,1
1605,23.6,0
1606,32.4,0
1607,18.9,1
1608,15.2,1
1609,17.6,1
1610,33.6,0
1611,2.7,1
1612,2.8,1
1613,23.6,1
1614,57.6,0
1615,18.7,0
1616,23.6,0
1617,19.6,1
1618,33.9,0
1619,30.6,0
1620,23.7,0
1621,45.8,1
1622,45.6,1
1623,2.2,0
1624,27.6,0
1625,40.7,0
1626,51.7,0
1627,26.7,0
1628,42.6,1
1629,2.3,1
1630,2.7,0
1631,26.7,0
1632,61.7,0
1633,24.2,0
1634,24.8,0
1635,18.4,1
1636,31.2,1
1637,31.2,1
1638,80.2,1
1639,66.2,0
1640,45.6,0
1641,6.5,0
1642,48.6,0
1643,38.7,0
1644,35.4,0
1645,51.8,0
1646,19.7,1
1647,18.5,0
1648,17.6,1
1649,55.7,0
1650,2.6,0
