"","V1","V2"
"1280",15.7,1
"1281",55.3,0
"1282",52.1,1
"1283",47.6,0
"1284",47.7,0
"1285",22.2,0
"1286",32.6,0
"1287",32.7,0
"1288",32.7,0
"1289",6.1,0
"1290",32.9,0
"1291",6.1,0
"1292",19.6,1
"1293",22.7,1
"1294",43.2,0
"1295",19.7,1
"1296",31.6,1
"1297",57.6,0
"1298",21.7,0
"1299",22.1,1
"1300",0.1,0
"1301",5.1,1
"1302",25.6,0
"1303",12.1,0
"1304",28.6,0
"1305",11.2,1
"1306",16.6,1
"1307",36.8,0
"1308",25.7,0
"1309",27.7,0
"1310",19.7,0
"1311",68.2,0
"1312",40.6,0
"1313",27.1,1
"1314",24.1,1
"1315",1.9,0
"1316",13.4,1
"1317",26.6,1
"1318",31.3,0
"1319",5.9,1
"1320",31.7,0
"1321",16.4,0
"1322",17.4,0
"1323",20.7,1
"1324",29.5,1
"1325",39,1
"1326",4.4,0
"1327",25.6,0
"1328",33.2,0
"1329",43.7,1
"1330",16.7,1
"1331",39,0
"1332",26.7,0
"1333",2.9,0
"1334",1.3,1
"1335",2.6,1
"1336",25.5,1
"1337",21.6,0
"1338",30,1
"1339",27.8,0
"1340",18.4,1
"1341",19.4,1
"1342",21.8,0
"1343",56.4,1
"1344",42.4,0
"1345",24.6,0
"1346",5.6,1
"1347",38,1
"1348",35.1,1
"1349",2.4,0
"1350",24.6,0
"1351",19.3,1
"1352",10,1
"1353",44.8,0
"1354",48.8,0
"1355",21.3,0
"1356",3.3,0
"1357",0.2,1
"1358",22.6,1
"1359",42.4,1
"1360",42.7,1
"1361",42.3,1
"1362",18.7,1
"1363",19.8,1
"1364",17.1,1
"1365",34.8,0
"1366",19.6,1
"1367",10.7,1
"1368",17.1,1
"1369",51.6,1
"1370",55.7,1
"1371",55.5,1
"1372",51.6,0
"1373",27.7,1
"1374",25.5,0
"1375",26.6,0
"1376",21.7,1
"1377",41.4,1
"1378",38.6,0
"1379",39.6,0
"1380",17.3,1
"1381",17.7,1
"1382",20.3,1
"1383",47.9,0
"1384",26.6,1
"1385",25.6,1
"1386",19.1,1
"1387",27.6,1
"1388",34.6,1
"1389",0.2,1
"1390",22.7,1
"1391",17.8,1
"1392",40.6,0
"1393",30,1
"1394",21,1
"1395",25.9,1
"1396",33.3,0
"1397",24.5,1
"1398",23.9,1
"1399",52.3,1
"1400",18.7,0
"1401",1.1,0
"1402",16.8,1
"1403",24,1
"1404",19.9,1
"1405",28.8,1
"1406",61.9,0
"1407",20.7,0
"1408",17.6,1
"1409",17.9,1
"1410",19.4,1
"1411",18.6,1
"1412",19.6,1
"1413",17.8,1
"1414",25.5,0
"1415",16.8,1
"1416",6.6,1
"1417",25.6,0
"1418",28.5,1
"1419",28.3,1
"1420",27.7,0
"1421",0.5,0
"1422",24.8,0
"1423",4.8,0
"1424",32.4,0
"1425",0.1,1
"1426",27.7,0
"1427",40.6,0
"1428",15.9,1
"1429",17.7,1
"1430",40.8,0
"1431",16,1
"1432",23.8,1
"1433",36.6,1
"1434",29.6,0
"1435",29.6,1
"1436",20.6,1
"1437",56.6,0
"1438",27.7,1
"1439",14.6,1
"1440",63.8,0
"1441",0.5,1
"1442",1.7,1
"1443",28.6,1
"1444",22.6,1
"1445",19.1,1
"1446",21.9,1
"1447",19.9,1
"1448",39.3,1
"1449",35.6,0
"1450",38.1,1
"1451",16.7,1
"1452",18.9,1
"1453",16.3,1
"1454",16.5,1
"1455",2.4,0
"1456",46.7,1
"1457",17.9,0
"1458",0.3,0
"1459",14.7,0
"1460",34.4,0
"1461",1,0
"1462",17.7,1
"1463",13.7,1
"1464",17.6,1
"1465",16.2,1
"1466",16.6,1
"1467",23.3,1
"1468",35.5,0
"1469",11.7,0
"1470",27.6,0
"1471",25.6,0
"1472",5.2,0
"1473",6.8,1
"1474",7.6,1
"1475",20.6,1
"1476",31.6,1
"1477",21.6,1
"1478",18.7,1
"1479",18.6,1
"1480",5.6,0
"1481",21.4,0
"1482",0.7,0
"1483",37.6,1
"1484",27.7,1
"1485",61.7,0
"1486",28,0
"1487",15.7,1
"1488",56.7,1
"1489",56.7,0
"1490",18.5,1
"1491",19.6,1
"1492",62.6,1
"1493",20.6,0
"1494",49.6,0
"1495",17.6,1
"1496",9.5,1
"1497",28.6,0
"1498",51.6,0
"1499",25.6,0
"1500",25.8,0
"1501",1.1,1
"1502",17.6,1
"1503",50.6,0
"1504",35.6,1
"1505",24.6,0
"1506",17,1
"1507",15.7,1
"1508",28.8,1
"1509",0.5,0
"1510",25.7,0
"1511",14.5,1
"1512",16.2,1
"1513",7.7,1
"1514",16.4,1
"1515",2.3,1
"1516",23.1,0
"1517",1.3,1
"1518",15.7,1
"1519",39.4,1
"1520",0.4,0
"1521",38.7,0
"1522",34.8,1
"1523",20.8,0
